sexo;faixaetaria;comocomproucontratou;regiao
M;entre 41 a 50 anos;Loja física;SE
F;mais de 70 anos;Domicílio;NE
M;entre 21 a 30 anos;Telefone;SE
M;entre 21 a 30 anos;Internet;SE
M;entre 41 a 50 anos;Telefone;NE
F;entre 51 a 60 anos;Telefone;SE
M;entre 41 a 50 anos;Telefone;S 
F;entre 21 a 30 anos;Telefone;SE
M;entre 21 a 30 anos;Loja física;SE
M;entre 31 a 40 anos;Domicílio;CO
F;entre 51 a 60 anos;Loja física;CO
M;entre 31 a 40 anos;Internet;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 31 a 40 anos;Internet;CO
M;entre 31 a 40 anos;Internet;CO
F;entre 31 a 40 anos;Telefone;N 
F;entre 41 a 50 anos;Telefone;CO
M;entre 21 a 30 anos;Loja física;SE
F;entre 31 a 40 anos;Loja física;CO
M;entre 41 a 50 anos;Telefone;SE
M;entre 21 a 30 anos;Internet;SE
F;entre 31 a 40 anos;Telefone;SE
F;entre 31 a 40 anos;Não comprei / contratei;CO
F;até 20 anos;Internet;CO
M;entre 31 a 40 anos;Internet;SE
M;entre 21 a 30 anos;Telefone;CO
M;entre 21 a 30 anos;Loja física;CO
M;entre 31 a 40 anos;Loja física;SE
F;mais de 70 anos;Telefone;SE
F;entre 51 a 60 anos;Loja física;N 
M;entre 41 a 50 anos;Loja física;NE
M;entre 21 a 30 anos;Telefone;SE
M;entre 21 a 30 anos;Loja física;SE
F;entre 21 a 30 anos;Telefone;S 
M;entre 31 a 40 anos;Não comprei / contratei;CO
M;entre 31 a 40 anos;Loja física;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 31 a 40 anos;Loja física;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 31 a 40 anos;Internet;SE
M;entre 21 a 30 anos;Internet;NE
F;entre 41 a 50 anos;Loja física;SE
F;entre 41 a 50 anos;Loja física;N 
F;entre 31 a 40 anos;Domicílio;NE
F;entre 21 a 30 anos;Não comprei / contratei;SE
F;entre 21 a 30 anos;Não comprei / contratei;SE
F;entre 21 a 30 anos;Não comprei / contratei;SE
