faixaetaria;comocomproucontratou
entre 41 a 50 anos;Loja física
mais de 70 anos;Domicílio
entre 21 a 30 anos;Telefone
entre 21 a 30 anos;Internet
entre 41 a 50 anos;Telefone
entre 51 a 60 anos;Telefone
entre 41 a 50 anos;Telefone
entre 21 a 30 anos;Telefone
entre 21 a 30 anos;Loja física
entre 31 a 40 anos;Domicílio
entre 51 a 60 anos;Loja física
entre 31 a 40 anos;Internet
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Internet
entre 31 a 40 anos;Internet
entre 31 a 40 anos;Telefone
entre 41 a 50 anos;Telefone
entre 21 a 30 anos;Loja física
entre 31 a 40 anos;Loja física
entre 41 a 50 anos;Telefone
entre 21 a 30 anos;Internet
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Não comprei / contratei
até 20 anos;Internet
entre 31 a 40 anos;Internet
entre 21 a 30 anos;Telefone
entre 21 a 30 anos;Loja física
entre 31 a 40 anos;Loja física
mais de 70 anos;Telefone
entre 51 a 60 anos;Loja física
entre 41 a 50 anos;Loja física
entre 21 a 30 anos;Telefone
entre 21 a 30 anos;Loja física
entre 21 a 30 anos;Telefone
entre 31 a 40 anos;Não comprei / contratei
entre 31 a 40 anos;Loja física
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Loja física
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Internet
entre 21 a 30 anos;Internet
entre 41 a 50 anos;Loja física
entre 41 a 50 anos;Loja física
entre 31 a 40 anos;Domicílio
entre 21 a 30 anos;Não comprei / contratei
entre 21 a 30 anos;Não comprei / contratei
entre 21 a 30 anos;Não comprei / contratei
entre 21 a 30 anos;Não comprei / contratei
entre 31 a 40 anos;Telefone
entre 21 a 30 anos;Loja física
entre 21 a 30 anos;Stand, feiras e eventos
entre 31 a 40 anos;Loja física
entre 31 a 40 anos;Não comprei / contratei
entre 31 a 40 anos;Não comprei / contratei
entre 21 a 30 anos;Loja física
entre 31 a 40 anos;Domicílio
entre 31 a 40 anos;Não comprei / contratei
entre 21 a 30 anos;Telefone
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Domicílio
entre 51 a 60 anos;Telefone
entre 41 a 50 anos;Internet
entre 51 a 60 anos;Telefone
entre 31 a 40 anos;Telefone
entre 31 a 40 anos;Loja física
entre 31 a 40 anos;Internet
entre 31 a 40 anos;Telefone
entre 51 a 60 anos;Telefone
entre 51 a 60 anos;Telefone
