problema;avaliacaoreclamacao
Suspensão ou desligamento indevido do serviço;Não Avaliada
SAC - Demanda não resolvida / não respondida;Não Avaliada
Suspensão ou desligamento indevido do serviço;Não Avaliada
SAC - Demanda não resolvida / não respondida;Não Avaliada
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não Avaliada
Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Não Avaliada
Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Não Avaliada
Alteração de plano/contrato sem solicitação ou aviso prévio;Não Resolvida
Dificuldade de pagamento, saque, depósito, transferência;Não Resolvida
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não Avaliada
Dificuldade na Renegociação / parcelamento de dívida;Resolvida
Dificuldade de contato / demora no atendimento;Resolvida
Negativação indevida;Resolvida
Suspensão ou desligamento indevido do serviço;Resolvida
Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc);Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Resolvida
Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Não Avaliada
Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Não Resolvida
Falta de peça de reposição;Não Resolvida
Dificuldade para alterar/ ativar serviços;Não Avaliada
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Avaliada
Publicidade abusiva / ofensiva / discriminatória;Resolvida
Alteração / rescisão de contrato sem solicitação / aviso prévio;Não Avaliada
Negativação indevida;Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Resolvida
SAC - Dificuldade em obter protocolo, gravação ou histórico;Não Resolvida
Falta de peça de reposição;Resolvida
Cobrança de tarifas, taxas, valores não previstos / não informados;Não Avaliada
Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Resolvida
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não Avaliada
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não Resolvida
Dificuldade para alterar/ ativar serviços;Não Avaliada
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Resolvida
Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Resolvida
Cobrança de compra/saque não reconhecido / Contestação de cobrança;Não Avaliada
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não Resolvida
Cobrança após cancelamento do serviço;Resolvida
Falta de peça de reposição;Não Avaliada
Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Resolvida
Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Não Avaliada
Dificuldade para alterar/ ativar serviços;Resolvida
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não Resolvida
Publicidade abusiva / ofensiva / discriminatória;Não Avaliada
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Resolvida
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não Avaliada
Dificuldade na Renegociação / parcelamento de dívida;Não Avaliada
Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Resolvida
Alteração de plano/contrato sem solicitação ou aviso prévio;Resolvida
SAC - Demanda não resolvida / não respondida;Não Avaliada
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Resolvida
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Resolvida
Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Resolvida
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Resolvida
Cobrança submetendo a ofensa, constrangimento ou ameaça;Não Avaliada
SAC - Demanda não resolvida / não respondida;Resolvida
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Resolvida
Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Resolvida
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Resolvida
Suspensão ou desligamento indevido do serviço;Resolvida
Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Não Avaliada
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Avaliada
Cartão não solicitado - Envio ou cobrança;Resolvida
Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Resolvida
Dificuldade de contato / demora no atendimento;Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Resolvida
Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Resolvida
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não Avaliada
SAC - Demanda não resolvida / não respondida;Não Avaliada
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Resolvida
SAC - Demanda não resolvida / não respondida;Resolvida
SAC - Demanda não resolvida / não respondida;Não Resolvida
SAC - Demanda não resolvida / não respondida;Resolvida
Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Não Avaliada
Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Não Avaliada
SAC - Demanda não resolvida / não respondida;Não Resolvida
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não Resolvida
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Não Resolvida
Bloqueio / Suspensão indevida do serviço;Não Avaliada
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não Avaliada
Serviço indisponível para a região ou sem previsão;Não Avaliada
Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não Avaliada
Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Não Avaliada
Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Não Avaliada
Cobrança de tarifas, taxas, valores não previstos / não informados;Não Avaliada
Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Resolvida
Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Resolvida
Não entrega / demora na entrega do produto;Não Resolvida
Dificuldade na devolução de valores pagos / reembolso / retenção de valores;Não Avaliada
Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Resolvida
Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento);Resolvida
Cobrança submetendo a ofensa, constrangimento ou ameaça;Resolvida
