comocomproucontratou;assunto
Loja física;Telefonia Fixa
Domicílio;Telefonia Fixa
Telefone;Telefonia Móvel Pré-paga
Internet;Internet Fixa
Telefone;Telefonia Fixa
Telefone;Telefonia Fixa
Telefone;Conta corrente / Salário / Poupança /Conta Aposentadoria
Telefone;TV por Assinatura
Loja física;Conta corrente / Salário / Poupança /Conta Aposentadoria
Domicílio;TV por Assinatura
Loja física;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Internet;Aparelho celular
Telefone;Aparelho celular
Internet;Telefonia Fixa
Internet;Aéreo
Telefone;Internet Móvel
Telefone;TV por Assinatura
Loja física;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Loja física;Tablet
Telefone;Internet Fixa
Internet;Televisão
Telefone;Telefonia Móvel Pós-paga
Não comprei / contratei;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Internet;Telefonia Móvel Pós-paga
Internet;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Telefone;Pacote de Serviços ( Combo )
Loja física;Refrigerador / freezer
Loja física;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Telefone;Telefonia Fixa
Loja física;Telefonia Móvel Pós-paga
Loja física;Internet Móvel
Telefone;TV por Assinatura
Loja física;Aparelho celular
Telefone;Pacote de Serviços ( Combo )
Não comprei / contratei;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Loja física;Telefonia Móvel Pré-paga
Telefone;Internet Móvel
Loja física;Fogão, microondas, forno elétrico, depurador de ar e coifa
Telefone;Telefonia Móvel Pós-paga
Telefone;Telefonia Móvel Pós-paga
Internet;Telefonia Móvel Pós-paga
Internet;Móveis e Colchões
Loja física;Telefonia Móvel Pós-paga
Loja física;Telefonia Móvel Pós-paga
Domicílio;Telefonia Fixa
Não comprei / contratei;Conta corrente / Salário / Poupança /Conta Aposentadoria
Não comprei / contratei;Internet Móvel
Não comprei / contratei;Telefonia Móvel Pré-paga
Não comprei / contratei;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Telefone;Internet Móvel
Loja física;Telefonia Móvel Pré-paga
Stand, feiras e eventos;Conta corrente / Salário / Poupança /Conta Aposentadoria
Loja física;Telefonia Móvel Pré-paga
Não comprei / contratei;Telefonia Fixa
Não comprei / contratei;Internet Fixa
Loja física;Internet Móvel
Domicílio;Telefonia Móvel Pré-paga
Não comprei / contratei;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Telefone;Telefonia Móvel Pós-paga
Telefone;TV por Assinatura
Telefone;Internet Móvel
Domicílio;Aparelho celular
Telefone;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Internet;Aparelho celular
Telefone;Aparelho de telefone fixo / interfone
Telefone;Aparelho celular
Loja física;Demais aparelhos de comunicação
Internet;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)
Telefone;Telefonia Móvel Pré-paga
Telefone;Internet Fixa
Telefone;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Não comprei / contratei;Internet Móvel
Telefone;Telefonia Fixa
Não comprei / contratei;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Não comprei / contratei;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Telefone;TV por Assinatura
Loja física;Investimentos / Aplicações / Previdência Privada
Loja física;Financiamentos de Veículos / Leasing
Internet;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Não comprei / contratei;Internet Fixa
Loja física;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Não comprei / contratei;Demais Empréstimos e Financiamentos (exceto imóveis e veículos)
Loja física;Telefonia Móvel Pré-paga
Loja física;Conta corrente / Salário / Poupança /Conta Aposentadoria
Loja física;Fogão, microondas, forno elétrico, depurador de ar e coifa
Telefone;Internet Móvel
Não comprei / contratei;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Telefone;TV por Assinatura
Internet;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc)
Telefone;Demais aparelhos de comunicação
Telefone;Telefonia Móvel Pós-paga
Loja física;Telefonia Móvel Pré-paga
Não comprei / contratei;Pacote de Serviços ( Combo )
Stand, feiras e eventos;Demais aparelhos de comunicação
Loja física;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Loja física;Telefonia Móvel Pré-paga
Telefone;Telefonia Fixa
Não comprei / contratei;Pacote de Serviços ( Combo )
Não comprei / contratei;Pacote de Serviços ( Combo )
Internet;Atendimento Bancário
Internet;Serviço de pagamento online/ via celular
Internet;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc)
Internet;Aparelho celular
Internet;Televisão
Internet;Televisão
Internet;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc)
Internet;Aparelho celular
Internet;Televisão
Internet;Televisão
Loja física;Pacote de Serviços ( Combo )
Internet;Perfumaria, cosméticos e higiene pessoal
Internet;Tablet
Internet;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)
Internet;Plano Odontológico (convênio, autogestão, seguro saúde )
Internet;Aparelho celular
Loja física;Energia Elétrica
Não comprei / contratei;Telefonia Móvel Pós-paga
Telefone;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Telefone;Telefonia Móvel Pré-paga
Telefone;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Domicílio;Telefonia Fixa
Telefone;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Internet;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Internet;Aéreo
