comocomproucontratou;problema
Loja física;Suspensão ou desligamento indevido do serviço
Domicílio;SAC - Demanda não resolvida / não respondida
Telefone;Suspensão ou desligamento indevido do serviço
Internet;SAC - Demanda não resolvida / não respondida
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Telefone;Alteração de plano/contrato sem solicitação ou aviso prévio
Loja física;Dificuldade de pagamento, saque, depósito, transferência
Domicílio;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Dificuldade na Renegociação / parcelamento de dívida
Internet;Dificuldade de contato / demora no atendimento
Telefone;Negativação indevida
Internet;Suspensão ou desligamento indevido do serviço
Internet;Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Loja física;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Loja física;Falta de peça de reposição
Telefone;Dificuldade para alterar/ ativar serviços
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Publicidade abusiva / ofensiva / discriminatória
Não comprei / contratei;Alteração / rescisão de contrato sem solicitação / aviso prévio
Internet;Negativação indevida
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;SAC - Dificuldade em obter protocolo, gravação ou histórico
Loja física;Falta de peça de reposição
Loja física;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Dificuldade para alterar/ ativar serviços
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Não comprei / contratei;Cobrança de compra/saque não reconhecido / Contestação de cobrança
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Cobrança após cancelamento do serviço
Loja física;Falta de peça de reposição
Telefone;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Telefone;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Internet;Dificuldade para alterar/ ativar serviços
Internet;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Publicidade abusiva / ofensiva / discriminatória
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Domicílio;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Não comprei / contratei;Dificuldade na Renegociação / parcelamento de dívida
Não comprei / contratei;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Não comprei / contratei;Alteração de plano/contrato sem solicitação ou aviso prévio
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Stand, feiras e eventos;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Cobrança submetendo a ofensa, constrangimento ou ameaça
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Domicílio;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
