nomefantasia;assunto
Oi Fixo;Telefonia Fixa
Oi Fixo;Telefonia Fixa
Vivo - Telefônica ;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Internet Fixa
Oi Fixo;Telefonia Fixa
Vivo - Telefônica ;Telefonia Fixa
Banco Itaú Unibanco;Conta corrente / Salário / Poupança /Conta Aposentadoria
SKY;TV por Assinatura
Caixa Econômica Federal;Conta corrente / Salário / Poupança /Conta Aposentadoria
GVT;TV por Assinatura
Losango;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Tim;Aparelho celular
Claro Celular;Aparelho celular
GVT;Telefonia Fixa
Avianca (Vôos Internacionais);Aéreo
Claro Celular;Internet Móvel
GVT;TV por Assinatura
Caixa Econômica Federal;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Tim;Tablet
Claro Fixo - Embratel;Internet Fixa
Submarino;Televisão
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Tim;Telefonia Móvel Pós-paga
American Express - Amex;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Claro Celular;Pacote de Serviços ( Combo )
Consul;Refrigerador / freezer
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Claro Fixo - Embratel;Telefonia Fixa
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Internet Móvel
SKY;TV por Assinatura
Ricardo Eletro.com;Aparelho celular
GVT;Pacote de Serviços ( Combo )
Caixa Econômica Federal;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Oi Celular;Telefonia Móvel Pré-paga
Claro Celular;Internet Móvel
LG Electronics;Fogão, microondas, forno elétrico, depurador de ar e coifa
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Tim;Telefonia Móvel Pós-paga
Oi Celular;Telefonia Móvel Pós-paga
Americanas.com;Móveis e Colchões
Tim;Telefonia Móvel Pós-paga
Claro Celular;Telefonia Móvel Pós-paga
Oi Fixo;Telefonia Fixa
Banco Santander;Conta corrente / Salário / Poupança /Conta Aposentadoria
Tim;Internet Móvel
Oi Celular;Telefonia Móvel Pré-paga
Caixa Econômica Federal;Cartão de Crédito / Cartão de Débito / Cartão de Loja
SKY;Internet Móvel
Oi Celular;Telefonia Móvel Pré-paga
Banco Itaú Unibanco;Conta corrente / Salário / Poupança /Conta Aposentadoria
Claro Celular;Telefonia Móvel Pré-paga
GVT;Telefonia Fixa
Oi Fixo;Internet Fixa
Claro Celular;Internet Móvel
Tim;Telefonia Móvel Pré-paga
Walmart.com;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Vivo - Telefônica ;Telefonia Móvel Pós-paga
