assunto;faixaetaria
Telefonia Fixa;entre 41 a 50 anos
Telefonia Fixa;mais de 70 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Internet Fixa;entre 21 a 30 anos
Telefonia Fixa;entre 41 a 50 anos
Telefonia Fixa;entre 51 a 60 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 41 a 50 anos
TV por Assinatura;entre 21 a 30 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 21 a 30 anos
TV por Assinatura;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 51 a 60 anos
Aparelho celular;entre 31 a 40 anos
Aparelho celular;entre 31 a 40 anos
Telefonia Fixa;entre 31 a 40 anos
Aéreo;entre 31 a 40 anos
Internet Móvel;entre 31 a 40 anos
TV por Assinatura;entre 41 a 50 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 21 a 30 anos
Tablet;entre 31 a 40 anos
Internet Fixa;entre 41 a 50 anos
Televisão;entre 21 a 30 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Telefonia Móvel Pós-paga;até 20 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Pacote de Serviços ( Combo );entre 21 a 30 anos
Refrigerador / freezer;entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Telefonia Fixa;mais de 70 anos
Telefonia Móvel Pós-paga;entre 51 a 60 anos
Internet Móvel;entre 41 a 50 anos
TV por Assinatura;entre 21 a 30 anos
Aparelho celular;entre 21 a 30 anos
Pacote de Serviços ( Combo );entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Internet Móvel;entre 31 a 40 anos
Fogão, microondas, forno elétrico, depurador de ar e coifa;entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Móveis e Colchões;entre 21 a 30 anos
Telefonia Móvel Pós-paga;entre 41 a 50 anos
Telefonia Móvel Pós-paga;entre 41 a 50 anos
Telefonia Fixa;entre 31 a 40 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 21 a 30 anos
Internet Móvel;entre 21 a 30 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 21 a 30 anos
Internet Móvel;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 21 a 30 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Telefonia Fixa;entre 31 a 40 anos
Internet Fixa;entre 31 a 40 anos
Internet Móvel;entre 21 a 30 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.);entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 21 a 30 anos
TV por Assinatura;entre 31 a 40 anos
Internet Móvel;entre 31 a 40 anos
Aparelho celular;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 51 a 60 anos
Aparelho celular;entre 41 a 50 anos
Aparelho de telefone fixo / interfone;entre 51 a 60 anos
Aparelho celular;entre 31 a 40 anos
Demais aparelhos de comunicação;entre 31 a 40 anos
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Internet Fixa;entre 51 a 60 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 51 a 60 anos
Internet Móvel;entre 21 a 30 anos
Telefonia Fixa;entre 51 a 60 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 51 a 60 anos
