segmentomercado;regiao
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);NE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);NE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Bancos, Financeiras e Administradoras de Cartão;S 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Bancos, Financeiras e Administradoras de Cartão;CO
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Transporte Aéreo;CO
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);N 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Comércio Eletrônico;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Bancos, Financeiras e Administradoras de Cartão;CO
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Fabricantes - Linha Branca;CO
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);N 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);NE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Comércio Eletrônico;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);S 
Bancos, Financeiras e Administradoras de Cartão;CO
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Comércio Eletrônico;NE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);N 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);NE
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);NE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Bancos, Financeiras e Administradoras de Cartão;SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);S 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);NE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);S 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);S 
Comércio Eletrônico;S 
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);CO
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);SE
Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);S 
