temporesposta;nomefantasia
;Pontofrio.com
;Banco Bradesco
;Cartão Submarino
;Light
;Vivo - Telefônica 
ra;Decolar.com
de;Casas Bahia
de;Tam
;Vivo - Telefônica 
de;Tam
de;Gol Linhas Aéreas
;Claro Celular
de;Tam
;Banco Bradesco
;Oi Fixo
;Itauleasing
;Philips TV e Monitores
;Centauro.com.br
;Americanas.com
de;Pontofrio.com
;Magazineluiza.com
de;Tam
ra;Shoptime
;Tim
;Light
;Oi Celular
;Ricardo Eletro.com
;Tim
ra;Submarino
;Tim
;Ricardo Eletro.com
;Ricardo Eletro.com
me;Tam
ra;Tam
;Tim
;Pontofrio.com
;Magazineluiza.com
;Ricardo Eletro.com
de;Casas Bahia
ra;Decolar.com
;Tim
de;Tam
;Extra 
;Centauro.com.br
me;Magazine Luiza
;Oi Fixo
me;Walmart.com
;Light
;Novo Mundo
de;Tam
;Netfarma
me;Banco Bradesco
;Tim
;Tim
;Vivo - Telefônica 
me;Ponto Frio
;Ricardo Eletro.com
ra;Tam
;Avianca - Oceanair
;Moip
;Itaucard
me;Oi Fixo
;Casas Bahia
;Vivo - Telefônica 
me;Americanas.com
;Tim
ra;Samsung
;Oi Fixo
ra;SKY
me;Tam
;Ricardo Eletro.com
;Tim
;Ricardo Eletro.com
;Tim
;Tim
me;Shoptime
;Tim
;Tim
;Magazine Luiza
ra;Oi Fixo
;Tim
ra;Magazine Luiza
ra;Casas Bahia
;Tim
me;Submarino
;Tim
ra;Tam
me;Extra.com
ra;Americanas.com
;Magazine Luiza
de;Submarino Viagens
;Tim
;Tim
ra;Walmart.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Ricardo Eletro
;Claro Celular
ra;Ricardo Eletro.com
;Luizaseg
de;SKY
de;Avianca - Oceanair
de;Vivo - Telefônica 
;Ricardo Eletro.com
;Odontoprev
;Novo Mundo
de;Banco Santander
de;Extra.com
;Magazineluiza.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Tim
;Tim
de;Pontofrio.com
me;Walmart.com
de;Tam
;Ricardo Eletro.com
de;Novo Mundo
ra;Gol Linhas Aéreas
ra;Magazine Luiza
;Magazine Luiza
de;Walmart.com
ra;Decolar.com
de;Casas Bahia
;Tim
;Tim
;Ricardo Eletro.com
de;Walmart.com
me;Tam
;Komeco
ra;Tam
;Light
de;Casas Bahia
de;Extra.com
;Vivo - Telefônica 
de;SKY
ra;Tam
;Unimed Paulistana
ra;Tam
de;Oi Celular
me;Walmart
de;Oi Fixo
;Ricardo Eletro.com
;SKY
;SKY
ra;Tim
me;Submarino
ra;Decolar.com
de;Casasbahia.com
de;Tam
ra;Casas Bahia
de;Pontofrio.com
ra;Walmart.com
me;TAM Viagens
;Caixa Seguros
;Insinuante
;Ricardo Eletro.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Ricardo Eletro.com
ra;Decolar.com
;Magazineluiza.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Tim
;Magazineluiza.com
;Ricardo Eletro.com
;Ricardo Eletro.com
;Oi Fixo
;CPFL Energia
;Ricardo Eletro.com
;Magazine Luiza
;Lojas Colombo.com
;SKY
;Ricardo Eletro.com
;Ricardo Eletro.com
;KaBuM!
ra;Tam
;Ricardo Eletro.com
me;Extra.com
;Komeco
de;Lojas Colombo.com
;Ricardo Eletro.com
;Novo Mundo
;Tim
de;Tam
;Ricardo Eletro.com
;Ricardo Eletro.com
;GVT
;Claro Celular
;Insinuante
de;Pontofrio.com
ra;Oi Fixo
;Unimed Paulistana
de;Gol Linhas Aéreas
;Ricardo Eletro.com
;Novo Mundo
me;Brastemp
;Ricardo Eletro.com
de;Moip
me;Oi Fixo
;Novo Mundo
;Novo Mundo
de;GVT
;Amil
me;GVT
;Magazine Luiza
ra;Tam
ra;Claro Celular
de;Pontofrio.com
;Casas Bahia
de;Tam
me;Casasbahia.com
;SuperMuffato.com
ra;Casas Bahia
ra;Walmart.com
ra;Sou barato
;Shopfato.com
;Girafa.com.br
;Centauro.com.br
;Centauro.com.br
;Hiper Bompreço
de;Ponto Frio
de;KaBuM!
de;Extra.com
;Expresso Itamarati
;Girafa.com.br
;Centauro
;Magazine Luiza
de;Casasbahia.com
de;Mundial Editora
de;Casas Bahia
de;Casas Bahia
;Avianca (Vôos Internacionais)
;Girafa.com.br
me;Casas Bahia
de;Casas Bahia
ra;Casas Bahia
;Centauro.com.br
;Centauro
;Tim
me;Submarino
;Komeco
;Magazineluiza.com
de;Tam
de;Smiles
;Philips TV e Monitores
;Pontofrio.com
;Banco Pan (Panamericano)
;Girafa.com.br
me;Decolar.com
;Centauro.com.br
;City Lar
;Loja Brastemp
;SuperMuffato.com
;Centauro
;Philips Walita, Avent, Saeco e Sonicare
de;GVT
me;Decolar.com
;O Boticário
de;Pontofrio.com
de;Pontofrio.com
;Centauro.com.br
;City Lar
;Tim
;RGE - Rio Grande Energia
;CPFL Energia
de;Ponto Frio
de;Extra.com
ra;Tam
de;Extra.com
;Novo Mundo
;Novo Mundo
de;Extra.com
;Ativos S.A
de;Tam
de;Casas Bahia
;Mapfre Consórcios
ra;Shoptime
;Novo Mundo
ra;Gol Linhas Aéreas
me;Droga Raia
de;Ricardo Eletro.com
me;Gol Linhas Aéreas
de;Extra.com
de;Extra.com
ra;Netfarma
ra;Claro Celular
me;Gol Linhas Aéreas
ra;Walmart.com
